,site,site_sql_id,datetime,water_temperature,session
309,SGW2,2044,2025-03-17 17:45:00,7.582,0
310,SGW2,2044,2025-03-17 18:00:00,7.582,0
311,SGW2,2044,2025-03-17 18:15:00,7.582,0
312,SGW2,2044,2025-03-17 18:30:00,7.582,0
313,SGW2,2044,2025-03-17 18:45:00,7.582,0
314,SGW2,2044,2025-03-17 19:00:00,7.582,0
315,SGW2,2044,2025-03-17 19:15:00,7.582,0
316,SGW2,2044,2025-03-17 19:30:00,7.582,0
317,SGW2,2044,2025-03-17 19:45:00,7.582,0
318,SGW2,2044,2025-03-17 20:00:00,7.582,0
319,SGW2,2044,2025-03-17 20:15:00,7.582,0
320,SGW2,2044,2025-03-17 20:30:00,7.582,0
321,SGW2,2044,2025-03-17 20:45:00,7.582,0
322,SGW2,2044,2025-03-17 21:00:00,7.582,0
323,SGW2,2044,2025-03-17 21:15:00,7.582,0
324,SGW2,2044,2025-03-17 21:30:00,7.582,0
325,SGW2,2044,2025-03-17 21:45:00,7.582,0
326,SGW2,2044,2025-03-17 22:00:00,7.582,0
327,SGW2,2044,2025-03-17 22:15:00,7.582,0
328,SGW2,2044,2025-03-17 22:30:00,7.582,0
329,SGW2,2044,2025-03-17 22:45:00,7.582,0
330,SGW2,2044,2025-03-17 23:00:00,7.582,0
331,SGW2,2044,2025-03-17 23:15:00,7.582,0
332,SGW2,2044,2025-03-17 23:30:00,7.582,0
333,SGW2,2044,2025-03-17 23:45:00,7.582,0
334,SGW2,2044,2025-03-18 00:00:00,7.582,0
335,SGW2,2044,2025-03-18 00:15:00,7.582,0
336,SGW2,2044,2025-03-18 00:30:00,7.582,0
337,SGW2,2044,2025-03-18 00:45:00,7.582,0
338,SGW2,2044,2025-03-18 01:00:00,7.582,0
339,SGW2,2044,2025-03-18 01:15:00,7.582,0
340,SGW2,2044,2025-03-18 01:30:00,7.582,0
341,SGW2,2044,2025-03-18 01:45:00,7.582,0
342,SGW2,2044,2025-03-18 02:00:00,7.582,0
343,SGW2,2044,2025-03-18 02:15:00,7.582,0
344,SGW2,2044,2025-03-18 02:30:00,7.582,0
345,SGW2,2044,2025-03-18 02:45:00,7.582,0
346,SGW2,2044,2025-03-18 03:00:00,7.582,0
347,SGW2,2044,2025-03-18 03:15:00,7.582,0
348,SGW2,2044,2025-03-18 03:30:00,7.582,0
349,SGW2,2044,2025-03-18 03:45:00,7.582,0
350,SGW2,2044,2025-03-18 04:00:00,7.582,0
351,SGW2,2044,2025-03-18 04:15:00,7.582,0
352,SGW2,2044,2025-03-18 04:30:00,7.582,0
353,SGW2,2044,2025-03-18 04:45:00,7.582,0
354,SGW2,2044,2025-03-18 05:00:00,7.582,0
355,SGW2,2044,2025-03-18 05:15:00,7.582,0
356,SGW2,2044,2025-03-18 05:30:00,7.582,0
357,SGW2,2044,2025-03-18 05:45:00,7.582,0
358,SGW2,2044,2025-03-18 06:00:00,7.582,0
359,SGW2,2044,2025-03-18 06:15:00,7.582,0
360,SGW2,2044,2025-03-18 06:30:00,7.582,0
361,SGW2,2044,2025-03-18 06:45:00,7.582,0
362,SGW2,2044,2025-03-18 07:00:00,7.582,0
363,SGW2,2044,2025-03-18 07:15:00,7.582,0
364,SGW2,2044,2025-03-18 07:30:00,7.582,0
365,SGW2,2044,2025-03-18 07:45:00,7.582,0
366,SGW2,2044,2025-03-18 08:00:00,7.582,0
367,SGW2,2044,2025-03-18 08:15:00,7.582,0
368,SGW2,2044,2025-03-18 08:30:00,7.582,0
369,SGW2,2044,2025-03-18 08:45:00,7.582,0
370,SGW2,2044,2025-03-18 09:00:00,7.582,0
371,SGW2,2044,2025-03-18 09:15:00,7.582,0
372,SGW2,2044,2025-03-18 09:30:00,7.582,0
373,SGW2,2044,2025-03-18 09:45:00,7.582,0
374,SGW2,2044,2025-03-18 10:00:00,7.582,0
375,SGW2,2044,2025-03-18 10:15:00,7.582,0
376,SGW2,2044,2025-03-18 10:30:00,7.582,0
377,SGW2,2044,2025-03-18 10:45:00,7.582,0
378,SGW2,2044,2025-03-18 11:00:00,7.582,0
379,SGW2,2044,2025-03-18 11:15:00,7.582,0
380,SGW2,2044,2025-03-18 11:30:00,7.582,0
381,SGW2,2044,2025-03-18 11:45:00,7.582,0
382,SGW2,2044,2025-03-18 12:00:00,7.582,0
383,SGW2,2044,2025-03-18 12:15:00,7.582,0
384,SGW2,2044,2025-03-18 12:30:00,7.582,0
385,SGW2,2044,2025-03-18 12:45:00,7.582,0
386,SGW2,2044,2025-03-18 13:00:00,7.582,0
387,SGW2,2044,2025-03-18 13:15:00,7.582,0
388,SGW2,2044,2025-03-18 13:30:00,7.582,0
389,SGW2,2044,2025-03-18 13:45:00,7.582,0
390,SGW2,2044,2025-03-18 14:00:00,7.582,0
